Date,BlkTank,Aquarium,NutLevel,SampleTime,ActualTime,Conductivity,Temp,mV,InflowRate,pH,Notes,,,,,,,,,,,,
12/3/2015,A,41,Med,14:00,13:21,60.6,27.32,-73,24,8.312030255,,,,,,,,,,,,,
12/3/2015,A,42,Med,14:00,13:19,60.7,27.44,-73.5,25,8.31855184,,,,,,,,,,,,,
12/3/2015,A,43,Med,14:00,13:26,60.5,27.27,-64.8,28,8.175245535,,,,,,,,,,,,,
12/3/2015,A,44,Med,14:00,13:27,60.9,27.6,-71.4,30,8.280876076,,,,,,,,,,,,,
12/3/2015,A,45,High,14:00,13:21,60.8,27.5,-73,30,8.309238226,,,,,,,,,,,,,
12/3/2015,A,46,High,14:00,13:20,60.7,27.43,-71.8,26,8.290203754,,,,,,,,,,,,,
12/3/2015,A,47,High,14:00,13:23,60.6,27.35,-74,33,8.328336028,,,,,,,,,,,,,
12/3/2015,A,48,High,14:00,13:28,60.7,27.43,-75.7,28,8.35559406,,,,,,,,,,,,,
12/3/2015,B,49,Ambient,14:00,13:24,59.6,27.58,-60.5,35,8.098517997,,,,,,,,,,,,,
12/3/2015,B,50,Ambient,14:00,13:32,60.3,27.1,-61.8,32,8.127450718,,,,,,,,,,,,,
12/3/2015,B,51,Ambient,14:00,13:52,59.7,26.6,-60.4,38,8.111366715,,,,,,,,,,,,,
12/3/2015,B,52,Ambient,14:00,13:31,60.4,27.17,-62.6,37,8.139832913,,,,,,,,,,,,,
12/3/2015,B,53,Med,14:00,13:32,59.9,26.73,-67.4,29,8.227078965,,,,,,,,,,,,,
12/3/2015,B,54,Med,14:00,13:50,59.8,26.52,-67.6,31,8.233641248,,,,,,,,,,,,,
12/3/2015,B,55,Med,14:00,13:44,59.7,26.52,-63,32,8.15628001,,,,,,,,,,,,,
12/3/2015,B,56,Med,14:00,13:52,59.8,26.74,-65,31,8.186593916,,,,,,,,,,,,,
12/3/2015,B,57,High,14:00,13:33,60,26.79,-72.2,28,8.306817489,,,,,,,,,,,,,
12/3/2015,B,58,High,14:00,13:31,60.4,27.18,-71,30,8.280641406,,,,,,,,,,,,,
12/3/2015,B,59,High,14:00,13:54,60.3,26.99,-69.9,29,8.265099554,,,,,,,,,,,,,
12/3/2015,B,60,High,14:00,13:51,59.5,26.42,-65,31,8.191425749,,,,,,,,,,,,,
12/3/2015,C,61,Ambient,14:00,13:45,59.3,26.18,-57.3,32,8.065409442,,,,,,,,,,,,,
12/3/2015,C,62,Ambient,14:00,13:44,59.4,26.29,-57,31,8.058745314,,,,,,,,,,,,,
12/3/2015,C,63,Ambient,14:00,13:38,59.5,26.37,-59,37,8.091224624,,,,,,,,,,,,,
12/3/2015,C,64,Ambient,14:00,13:48,59.5,26.41,-57.9,30,8.07212758,,,,,,,,,,,,,
12/3/2015,C,65,Med,14:00,13:40,59.3,26.21,-61.2,28,8.130625746,,,,,,,,,,,,,
12/3/2015,C,66,Med,14:00,13:47,59.4,26.32,-60.3,29,8.113840806,,,,,,,,,,,,,
12/3/2015,C,67,Med,14:00,13:39,59.5,26.34,-59,29,8.091667785,,,,,,,,,,,,,
12/3/2015,C,68,Med,14:00,13:36,59.4,26.34,-61.2,28,8.128688875,,,,,,,,,,,,,
12/3/2015,C,69,High,14:00,13:41,59.3,26.13,-58.5,27,8.086351167,,,,,,,,,,,,,
12/3/2015,C,70,High,14:00,13:46,59.1,26.08,-59.9,29,8.110668225,,,,,,,,,,,,,
12/3/2015,C,71,High,14:00,13:43,59.3,26.16,-60.1,28,8.11284921,,,,,,,,,,,,,
12/3/2015,C,72,High,14:00,13:35,59.3,26.22,-62,31,8.143944341,,,,,,,,,,,,,
12/3/2015,Header,Gray,Ambient,14:00,13:56,59.1,26.1,-50.9,,7.958800176,,,,,,,,,,,,,
12/3/2015,Header,Pink,Med,14:00,13:55,59.1,26.12,-52.6,,7.987141884,,,,,,,,,,,,,
12/3/2015,Header,Red,High,14:00,13:57,59.1,26.08,-52.5,,7.986034542,,,,,,,,,,,,,
12/3/2015,A,37,Ambient,18:00,17:13,59.2,26.24,-54.2,,8.012344991,,,,,,,,,,,,,
12/3/2015,A,38,Ambient,18:00,17:18,59,26.14,-55.1,,8.028950992,,,,,,,,,,,,,
12/3/2015,A,39,Ambient,18:00,17:19,58.6,26.36,-55.3,,8.029113756,,,,,,,,,,,,,
12/3/2015,A,40,Ambient,18:00,17:22,59.3,26.29,-56.7,,8.053696141,,,,,,,,,,,,,
12/3/2015,A,41,Med,18:00,17:16,59.2,26.31,-60.1,,8.110623383,,,,,,,,,,,,,
12/3/2015,A,42,Med,18:00,17:15,59.2,26.36,-64.1,,8.177188227,,,,,,,,,,,,,
12/3/2015,A,43,Med,18:00,17:21,59.2,26.27,-62.1,,8.144880249,,,,,,,,,,,,,
12/3/2015,A,44,Med,18:00,17:21,59.3,26.37,-60.9,,8.123194181,,,,,,,,,,,,,
12/3/2015,A,45,High,18:00,17:16,59.3,26.36,-62,,8.141852273,,,,,,,,,,,,,
12/3/2015,A,46,High,18:00,17:19,58.8,26.34,-62.6,,8.15224775,,,,,,,,,,,,,
12/3/2015,A,47,High,18:00,17:17,59.2,26.32,-60.5,,8.117206585,,,,,,,,,,,,,
12/3/2015,A,48,High,18:00,17:20,59.1,26.37,-63.8,,8.17198982,,,,,,,,,,,,,
12/3/2015,B,49,Ambient,18:00,17:37,58.8,25.86,-52.2,,7.984150932,,,,,,,,,,,,,
12/3/2015,B,50,Ambient,18:00,17:38,58.9,26.1,-52.7,,7.989114451,,,,,,,,,,,,,
12/3/2015,B,51,Ambient,18:00,17:34,58.7,25.8,-52.6,,7.991758834,,,,,,,,,,,,,
12/3/2015,B,52,Ambient,18:00,17:39,58.9,26.03,-52.6,,7.98843999,,,,,,,,,,,,,
12/3/2015,B,53,Med,18:00,17:40,58.7,25.82,-57.2,,8.069012524,,,,,,,,,,,,,
12/3/2015,B,54,Med,18:00,17:35,58.7,25.82,-56.5,,8.057212598,,,,,,,,,,,,,
12/3/2015,B,55,Med,18:00,17:35,58.8,25.92,-53.3,,8.001822981,,,,,,,,,,,,,
12/3/2015,B,56,Med,18:00,17:32,59,26.08,-54.7,,8.023087799,,,,,,,,,,,,,
12/3/2015,B,57,High,18:00,17:41,59,25.97,-57.3,,8.068493915,,,,,,,,,,,,,
12/3/2015,B,58,High,18:00,17:38,58.9,26.08,-57.9,,8.076983446,,,,,,,,,,,,,
12/3/2015,B,59,High,18:00,17:33,59,26.13,-57.5,,8.069511591,,,,,,,,,,,,,
12/3/2015,B,60,High,18:00,17:36,58.6,25.79,-54.2,,8.018877145,,,,,,,,,,,,,
12/3/2015,C,61,Ambient,18:00,17:51,58.9,25.88,-53.1,,7.999031041,,,,,,,,,,,,,
12/3/2015,C,62,Ambient,18:00,17:50,58.9,26.04,-52.5,,7.986611276,,,,,,,,,,,,,
12/3/2015,C,63,Ambient,18:00,17:55,58.9,26.04,-52.8,,7.991664669,,,,,,,,,,,,,
12/3/2015,C,64,Ambient,18:00,17:48,58.6,26.07,-52.7,,7.98954731,,,,,,,,,,,,,
12/3/2015,C,65,Med,18:00,17:54,58.7,25.81,-57.6,,8.075902495,,,,,,,,,,,,,
12/3/2015,C,66,Med,18:00,17:49,58.7,26.01,-55.3,,8.034213595,,,,,,,,,,,,,
12/3/2015,C,67,Med,18:00,17:56,59,25.98,-55.7,,8.041390161,,,,,,,,,,,,,
12/3/2015,C,68,Med,18:00,17:57,58.9,26.04,-56.3,,8.050620914,,,,,,,,,,,,,
12/3/2015,C,69,High,18:00,17:53,58.8,25.85,-53,,7.997779305,,,,,,,,,,,,,
12/3/2015,C,70,High,18:00,17:52,58.4,25.78,-53.7,,8.01059275,,,,,,,,,,,,,
12/3/2015,C,71,High,18:00,17:51,58.9,25.94,-53.9,,8.011643773,,,,,,,,,,,,,
12/3/2015,C,72,High,18:00,17:54,58.9,25.98,-55.7,,8.041390161,,,,,,,,,,,,,
12/3/2015,Header,Gray,Ambient,18:00,19:05,58.6,25.7,-47.5,,7.907197062,,,,,,,,,,,,,
12/3/2015,Header,Pink,Med,18:00,19:04,58.6,25.73,-46.4,,7.888224237,,,,,,,,,,,,,
12/3/2015,Header,Red,High,18:00,19:06,58.7,25.77,-47.2,,7.901148658,,,,,,,,,,,,,
12/3/2015,A,37,Ambient,22:00,9:15,58.2,25.65,-45,,7.865738071,cant read the mV on sheet double check,,,,,,,,,,,,
12/3/2015,A,38,Ambient,22:00,9:21,58.4,25.53,-45.6,,7.877543753,,,,,,,,,,,,,
12/3/2015,A,39,Ambient,22:00,9:23,58.5,25.7,-45.4,,7.87178307,,,,,,,,,,,,,
12/3/2015,A,40,Ambient,22:00,9:28,58.5,25.55,-45.8,,7.880637219,,,,,,,,,,,,,
12/3/2015,A,41,Med,22:00,9:18,58.5,25.71,-45.9,,7.880074372,,,,,,,,,,,,,
12/3/2015,A,42,Med,22:00,9:16,58.3,25.62,-47.2,,7.903268736,,,,,,,,,,,,,
12/3/2015,A,43,Med,22:00,9:26,58.5,25.37,-45.8,,7.883168707,,,,,,,,,,,,,
12/3/2015,A,44,Med,22:00,9:26,58.1,25.61,-45.1,,7.867985445,,,,,,,,,,,,,
12/3/2015,A,45,High,22:00,9:22,58.5,25.69,-43.9,,7.846626838,,,,,,,,,,,,,
12/3/2015,A,46,High,22:00,9:23,58.3,25.69,-44.8,,7.861804771,,,,,,,,,,,,,
12/3/2015,A,47,High,22:00,9:20,58.6,25.67,-42.5,,7.823294104,,,,,,,,,,,,,
12/3/2015,A,48,High,22:00,9:24,58.6,25.7,-44.7,,7.859978407,,,,,,,,,,,,,
12/3/2015,B,49,Ambient,22:00,9:37,58,25.33,-45,,7.870223662,,,,,,,,,,,,,
12/3/2015,B,50,Ambient,22:00,9:33,58.4,25.49,-45.1,,7.869667945,,,,,,,,,,,,,
12/3/2015,B,51,Ambient,22:00,9:45,57.9,25.21,-45.9,,7.887109122,,,,,,,,,,,,,
12/3/2015,B,52,Ambient,22:00,9:48,58.2,25.44,-45.1,,7.870369148,,,,,,,,,,,,,
12/3/2015,B,53,Med,22:00,9:34,58.2,25.26,-44.9,,7.869516541,,,,,,,,,,,,,
12/3/2015,B,54,Med,22:00,9:40,57.7,25.67,-44.7,,7.860398201,,,,,,,,,,,,,
12/3/2015,B,55,Med,22:00,9:39,58,25.37,-44.7,,7.864598015,,,,,,,,,,,,,
12/3/2015,B,56,Med,22:00,9:42,58,25.42,-43.4,,7.841954302,,,,,,,,,,,,,
12/3/2015,B,57,High,22:00,9:35,58.2,25.42,-43.9,,7.850394112,,,,,,,,,,,,,
12/3/2015,B,58,High,22:00,9:32,58.3,25.5,-44,,7.850965107,,,,,,,,,,,,,
12/3/2015,B,59,High,22:00,9:44,58.3,25.53,-43.5,,7.842109605,,,,,,,,,,,,,
12/3/2015,B,60,High,22:00,9:37,58.2,25.28,-42.6,,7.830394796,,,,,,,,,,,,,
12/3/2015,C,61,Ambient,22:00,9:55,58.2,25.37,-45.4,,7.876415728,,,,,,,,,,,,,
12/3/2015,C,62,Ambient,22:00,9:53,50,25.44,-45.3,,7.873744846,,,,,,,,,,,,,
12/3/2015,C,63,Ambient,22:00,10:02,58.2,25.47,-44.9,,7.866573056,,,,,,,,,,,,,
12/3/2015,C,64,Ambient,22:00,9:50,58.4,25.51,-44.9,,7.866012583,,,,,,,,,,,,,
12/3/2015,C,65,Med,22:00,9:58,58.2,25.31,-45.7,,7.88232423,,,,,,,,,,,,,
12/3/2015,C,66,Med,22:00,9:52,58.2,25.44,-45.3,,7.873744846,,,,,,,,,,,,,
12/3/2015,C,67,Med,22:00,9:50,58,25.46,-43.3,,7.839709409,,,,,,,,,,,,,
12/3/2015,C,68,Med,22:00,10:01,58.3,25.49,-44.7,,7.862917679,,,,,,,,,,,,,
12/3/2015,C,69,High,22:00,9:59,58,25.35,-41.3,,7.807473956,,,,,,,,,,,,,
12/3/2015,C,70,High,22:00,9:57,58,25.28,-42.8,,7.833772304,,,,,,,,,,,,,
12/3/2015,C,71,High,22:00,9:56,58,25.34,-43.8,,7.849822454,,,,,,,,,,,,,
12/3/2015,C,72,High,22:00,0:00,58.1,25.47,-43,,7.834507147,,,,,,,,,,,,,
12/3/2015,Header,Gray,Ambient,22:00,9:28,57.6,25.44,-47.5,,7.910877523,,,,,,,,,,,,,
12/3/2015,Header,Pink,Med,22:00,9:30,58.2,25.47,-44.1,,7.853071621,,,,,,,,,,,,,
12/3/2015,Header,Red,High,22:00,9:31,58.3,25.5,-40.7,,7.795277281,,,,,,,,,,,,,
12/4/2015,A,37,Ambient,2:00,1:29,57.9,25.29,-41.5,,7.81168023,,,,,,,,,,,,,
12/4/2015,A,38,Ambient,2:00,1:48,57.7,25.3,-41.9,,7.818296524,,,,,,,,,,,,,
12/4/2015,A,39,Ambient,2:00,1:32,57.9,25.34,-42.8,,7.83293831,,,,,,,,,,,,,
12/4/2015,A,40,Ambient,2:00,1:35,57.8,25.25,-42,,7.820677962,,,,,,,,,,,,,
12/4/2015,A,41,Med,2:00,1:30,57.8,25.3,-41,,7.803098758,,,,,,,,,,,,,
12/4/2015,A,42,Med,2:00,1:25,58,25.34,-38.6,,7.762024904,,,,,,,,,,,,,
12/4/2015,A,43,Med,2:00,1:37,57.7,25.25,-39.4,,7.776765947,,,,,,,,,,,,,
12/4/2015,A,44,Med,2:00,1:34,58,25.3,-40.1,,7.787900991,,,,,,,,,,,,,
12/4/2015,A,45,High,2:00,1:28,56.7,25.28,-36.6,,7.729069562,,,,,,,,,,,,,
12/4/2015,A,46,High,2:00,1:26,58,25.32,-36.8,,7.731904638,,,,,,,,,,,,,
12/4/2015,A,47,High,2:00,1:31,58,25.29,-36.2,,7.722179273,,,,,,,,,,,,,
12/4/2015,A,48,High,2:00,1:33,58,25.29,-36.3,,7.72386797,,,,,,,,,,,,,
12/4/2015,B,49,Ambient,2:00,2:00,57.7,25.17,-42.9,,7.836991023,,,,,,,,,,,,,
12/4/2015,B,50,Ambient,2:00,2:06,57.8,25.24,-42.8,,7.834328375,,,,,,,,,,,,,
12/4/2015,B,51,Ambient,2:00,1:57,57.6,24.97,-43.8,,7.854988555,,,,,,,,,,,,,
12/4/2015,B,52,Ambient,2:00,2:05,57.1,25.19,-43,,7.838402077,,,,,,,,,,,,,
12/4/2015,B,53,Med,2:00,2:04,58,25.2,-39.8,,7.784208306,,,,,,,,,,,,,
12/4/2015,B,54,Med,2:00,1:58,57.9,25.23,-40.2,,7.790552444,,,,,,,,,,,,,
12/4/2015,B,55,Med,2:00,2:08,57.9,25.23,-40.3,,7.792241481,,,,,,,,,,,,,
12/4/2015,B,56,Med,2:00,1:53,57.9,25.27,-39.5,,7.77818057,,,,,,,,,,,,,
12/4/2015,B,57,High,2:00,2:03,57.6,25.22,-38.8,,7.767042694,,,,,,,,,,,,,
12/4/2015,B,58,High,2:00,2:06,57.6,25.23,-38.8,,7.766905927,,,,,,,,,,,,,
12/4/2015,B,59,High,2:00,1:54,57.7,25.23,-37.6,,7.746637485,,,,,,,,,,,,,
12/4/2015,B,60,High,2:00,1:59,57.8,25.22,-37.8,,7.750151759,,,,,,,,,,,,,
12/4/2015,C,61,Ambient,2:00,2:13,57.8,25.2,-42.5,,7.829816887,,,,,,,,,,,,,
12/4/2015,C,62,Ambient,2:00,2:10,58,25.21,-42.4,,7.827988868,,,,,,,,,,,,,
12/4/2015,C,63,Ambient,2:00,2:20,57.9,25.21,-42.4,,7.827988868,,,,,,,,,,,,,
12/4/2015,C,64,Ambient,2:00,2:12,57.6,25.26,-42.4,,7.827294864,,,,,,,,,,,,,
12/4/2015,C,65,Med,2:00,2:16,57.9,25.16,-41.1,,7.806720336,,,,,,,,,,,,,
12/4/2015,C,66,Med,2:00,2:11,57.8,25.2,-41.4,,7.811235614,,,,,,,,,,,,,
12/4/2015,C,67,Med,2:00,2:12,57.9,25.2,-41.9,,7.819681647,,,,,,,,,,,,,
12/4/2015,C,68,Med,2:00,2:19,57.9,25.2,-40.5,,7.796032753,,,,,,,,,,,,,
12/4/2015,C,69,High,2:00,2:17,57.8,25.14,-36.2,,7.724208751,,,,,,,,,,,,,
12/4/2015,C,70,High,2:00,2:15,57.9,25.15,-37.9,,7.752794755,,,,,,,,,,,,,
12/4/2015,C,71,High,2:00,2:14,57.8,25.21,-40,,7.787449266,,,,,,,,,,,,,
12/4/2015,C,72,High,2:00,2:18,57.8,25.16,-37.6,,7.747590173,,,,,,,,,,,,,
12/4/2015,Header,Gray,Ambient,2:00,1:49,57.8,25.1,-46.1,,7.892037617,,,,,,,,,,,,,
12/4/2015,Header,Pink,Med,2:00,1:50,57.8,25.13,-45.9,,7.888235583,,,,,,,,,,,,,
12/4/2015,Header,Red,High,2:00,1:51,57.8,25.15,-45.7,,7.884574965,,,,,,,,,,,,,
12/4/2015,A,37,Ambient,6:00,5:20,57.5,24.96,-39.9,,7.789196153,,,,,,,,,,,,,
12/4/2015,A,38,Ambient,6:00,5:26,57.1,24.94,-41.4,,7.814831339,,,,,,,,,,,,,
12/4/2015,A,39,Ambient,6:00,5:29,56.7,25.02,-41.9,,7.822175821,,,,,,,,,,,,,
12/4/2015,A,40,Ambient,6:00,5:28,57.8,24.94,-40.7,,7.802996578,,,,,,,,,,,,,
12/4/2015,A,41,Med,6:00,5:24,56.9,24.98,-39.3,,7.778778465,,,,,,,,,,,,,
12/4/2015,A,42,Med,6:00,5:19,57.3,25.08,-37.3,,7.743609518,,,,,,,,,,,,,
12/4/2015,A,43,Med,6:00,5:31,57.1,24.95,-37.8,,7.753830553,,,,,,,,,,,,,
12/4/2015,A,44,Med,6:00,5:30,57.4,24.96,-37.7,,7.752003687,,,,,,,,,,,,,
12/4/2015,A,45,High,6:00,5:02,55.5,25,-34.6,,7.699058218,,,,,,,,,,,,,
12/4/2015,A,46,High,6:00,5:21,57.3,25.02,-35.2,,7.708930648,,,,,,,,,,,,,
12/4/2015,A,47,High,6:00,5:25,56.9,24.99,-35.2,,7.709335068,,,,,,,,,,,,,
12/4/2015,A,48,High,6:00,5:27,57.2,25,-34.4,,7.695677539,,,,,,,,,,,,,
12/4/2015,B,49,Ambient,6:00,5:46,56.6,24.91,-41.8,,7.822009796,,,,,,,,,,,,,
12/4/2015,B,50,Ambient,6:00,5:38,57.3,24.96,-44.4,,7.865271653,,,,,,,,,,,,,
12/4/2015,B,51,Ambient,6:00,5:41,56.8,24.69,-42.8,,7.841980592,,,,,,,,,,,,,
12/4/2015,B,52,Ambient,6:00,5:32,55.8,24.88,-41.6,,7.819043527,,,,,,,,,,,,,
12/4/2015,B,53,Med,6:00,5:36,56.8,24.89,-38.2,,7.76141228,,,,,,,,,,,,,
12/4/2015,B,54,Med,6:00,5:42,57.1,24.93,-38.7,,7.769319793,,,,,,,,,,,,,
12/4/2015,B,55,Med,6:00,5:43,56.8,25,-39.6,,7.783575211,,,,,,,,,,,,,
12/4/2015,B,56,Med,6:00,5:40,57.2,25.01,-39.1,,7.774986494,,,,,,,,,,,,,
12/4/2015,B,57,High,6:00,5:36,57.1,24.91,-37,,7.740848984,,,,,,,,,,,,,
12/4/2015,B,58,High,6:00,5:34,57.2,24.94,-38.1,,7.759038896,,,,,,,,,,,,,
12/4/2015,B,59,High,6:00,5:41,57.5,24.97,-35.8,,7.719747759,,,,,,,,,,,,,
12/4/2015,B,60,High,6:00,5:44,56.6,24.94,-37.2,,7.743822775,,,,,,,,,,,,,
12/4/2015,C,61,Ambient,6:00,5:51,57.2,24.96,-41.8,,7.82131692,,,,,,,,,,,,,
12/4/2015,C,62,Ambient,6:00,5:48,57,24.97,-41.5,,7.816106826,,,,,,,,,,,,,
12/4/2015,C,63,Ambient,6:00,5:56,57.1,24.96,-41.4,,7.814554653,,,,,,,,,,,,,
12/4/2015,C,64,Ambient,6:00,5:50,56.9,25.01,-41.5,,7.81555329,,,,,,,,,,,,,
12/4/2015,C,65,Med,6:00,5:52,56.3,24.89,-39.9,,7.790158663,,,,,,,,,,,,,
12/4/2015,C,66,Med,6:00,5:48,56.4,24.94,-40.4,,7.797924538,,,,,,,,,,,,,
12/4/2015,C,67,Med,6:00,5:50,57.3,24.96,-40.4,,7.797648987,,,,,,,,,,,,,
12/4/2015,C,68,Med,6:00,5:56,57.2,24.97,-39.2,,7.777225097,,,,,,,,,,,,,
12/4/2015,C,69,High,6:00,5:54,57.2,24.88,-35.7,,7.719273321,,,,,,,,,,,,,
12/4/2015,C,70,High,6:00,5:53,56.4,24.9,-36.4,,7.730839406,,,,,,,,,,,,,
12/4/2015,C,71,High,6:00,5:47,57.3,25,-38.7,,7.768362152,,,,,,,,,,,,,
12/4/2015,C,72,High,6:00,5:57,56.8,24.92,-35.7,,7.718732808,,,,,,,,,,,,,
12/4/2015,Header,Gray,Ambient,6:00,5:59,57.1,24.83,-45.8,,7.890770767,,,,,,,,,,,,,
12/4/2015,Header,Pink,Med,6:00,6:00,57.1,24.82,-45.4,,7.884146211,,,,,,,,,,,,,
12/4/2015,Header,Red,High,6:00,6:01,57.5,24.81,-45.1,,7.879212623,,,,,,,,,,,,,
12/4/2015,A,37,Ambient,10:00,9:13,58.1,25.47,-44.9,37,7.866573056,,,,,,,,,,,,,
12/4/2015,A,38,Ambient,10:00,9:15,57.7,25.32,-45.9,33,7.885560648,,,,,,,,,,,,,
12/4/2015,A,39,Ambient,10:00,9:19,57.5,25.51,-46.9,35,7.899761651,,,,,,,,,,,,,
12/4/2015,A,40,Ambient,10:00,9:22,57.9,25.51,-46.3,36,7.889636931,,,,,,,,,,,,,
12/4/2015,A,41,Med,10:00,9:14,58.2,25.45,-45.8,30,7.882043447,,,,,,,,,,,,,
12/4/2015,A,42,Med,10:00,9:18,58,25.48,-46.4,27,7.891747275,,,,,,,,,,,,,
12/4/2015,A,43,Med,10:00,9:23,57.8,25.5,-45.9,29,7.883027795,,,,,,,,,,,,,
12/4/2015,A,44,Med,10:00,9:21,58.1,25.59,-46.4,31,7.890196843,,,,,,,,,,,,,
12/4/2015,A,45,High,10:00,9:17,58.3,25.56,-43.6,31,7.843378857,,,,,,,,,,,,,
12/4/2015,A,46,High,10:00,9:18,58.1,25.43,-42.4,27,7.824935952,,,,,,,,,,,,,
12/4/2015,A,47,High,10:00,9:16,58.3,25.53,-46.2,35,7.887667795,,,,,,,,,,,,,
12/4/2015,A,48,High,10:00,9:20,58.2,25.61,-45.1,30,7.867985445,,,,,,,,,,,,,
12/4/2015,B,49,Ambient,10:00,9:35,58.1,25.41,-47.9,38,7.918054436,,,,,,,,,,,,,
12/4/2015,B,50,Ambient,10:00,9:30,58,25.4,-46,36,7.886122856,,,,,,,,,,,,,
12/4/2015,B,51,Ambient,10:00,9:31,57.8,25.13,-47.5,38,7.915269234,,,,,,,,,,,,,
