Date,BlkTank,Substrate,Aquarium,NutLevel,SampleTime,ActualTime,Conductivity,Temp,mV,InflowRate,pH,Notes
12/3/2015,A,Rubble,7,Med,22:00,21:27,58.2,25.46,-45.6,,7.878527335,
12/3/2015,A,Sand,8,Med,22:00,21:23,58,25.4,-48.2,,7.923260508,
12/3/2015,A,Coral,9,High,22:00,21:20,58.2,25.44,-40.2,,7.787664548,
12/3/2015,A,Algae,10,High,22:00,21:24,58.1,25.44,-49.6,,7.946322352,
12/3/2015,A,Rubble,11,High,22:00,21:30,58.1,25.38,-43.9,,7.85095246,
12/3/2015,A,Sand,12,High,22:00,21:25,58.2,25.38,-47.7,,7.915103612,
12/3/2015,B,Coral,13,Ambient,22:00,21:38,57.8,25.32,-44.1,,7.855167151,
12/3/2015,B,Algae,14,Ambient,22:00,21:40,57.9,25.3,-47.9,,7.919614968,
12/3/2015,B,Rubble,15,Ambient,22:00,22:07,57.7,24.97,-45.8,,7.888798754,
12/3/2015,B,Sand,16,Ambient,22:00,21:36,58.1,25.3,-49.5,,7.94663322,
12/3/2015,B,Coral,17,Med,22:00,22:03,58,25.24,-43.6,,7.847840218,
12/3/2015,B,Algae,18,Med,22:00,22:05,57.8,25.13,-45.7,,7.884856377,
12/3/2015,B,Rubble,19,Med,22:00,22:06,58.1,25.27,-44.1,,7.855865852,
12/3/2015,B,Sand,20,Med,22:00,21:38,57.9,25.21,-47.4,,7.912446374,
12/3/2015,B,Coral,21,High,22:00,22:08,57.9,25.1,-42.2,,7.826136467,
12/3/2015,B,Algae,22,High,22:00,21:34,57.9,25.32,-46.4,,7.894003286,
12/3/2015,B,Rubble,23,High,22:00,21:40,58.1,25.31,-44.4,,7.860372636,
12/3/2015,B,Sand,24,High,22:00,22:04,57.9,25.17,-47.1,,7.90794484,
12/3/2015,C,Coral,25,Ambient,22:00,21:53,58.1,25.22,-43,,7.837984621,
12/3/2015,C,Algae,26,Ambient,22:00,21:56,58,25.23,-48,,7.922297321,
12/3/2015,C,Rubble,27,Ambient,22:00,21:45,57.9,25.29,-45.8,,7.884294215,
12/3/2015,C,Sand,28,Ambient,22:00,21:55,57.9,25.15,-49.4,,7.94708609,
12/3/2015,C,Coral,29,Med,22:00,21:47,57.8,25.16,-44.6,,7.865850499,
12/3/2015,C,Algae,30,Med,22:00,21:44,57.8,25.36,-45.6,,7.879932779,
12/3/2015,C,Rubble,31,Med,22:00,22:00,57.9,25.24,-45.7,,7.883308804,
12/3/2015,C,Sand,32,Med,22:00,21:58,57.9,25.18,-47.4,,7.912871315,
12/3/2015,C,Coral,33,High,22:00,22:02,57.9,25.13,-43.4,,7.845995505,
12/3/2015,C,Algae,34,High,22:00,21:45,58,25.33,-45.7,,7.882042959,
12/3/2015,C,Rubble,35,High,22:00,21:59,57.8,25.06,-41.1,,7.808101456,
12/3/2015,C,Sand,36,High,22:00,21:45,58,25.28,-45.5,,7.879368659,
12/3/2015,Header,,Gray,Ambient,22:00,22:10,58,25.22,-48.7,,7.93426295,
12/3/2015,Header,,Pink,Med,22:00,22:09,58,25.22,-48.5,,7.930884763,
12/3/2015,Header,,Red,High,22:00,22:11,58,25.24,-48.4,,7.928911271,
12/4/2015,A,Coral,1,Ambient,2:00,2:02,57.7,24.97,-39.3,,7.778915607,
12/4/2015,A,Algae,2,Ambient,2:00,1:58,57.5,25.17,-45.1,,7.874157308,
12/4/2015,A,Rubble,3,Ambient,2:00,2:00,56.2,25.1,-44.1,,7.858242155,
12/4/2015,A,Sand,4,Ambient,2:00,2:04,57.6,25.11,-47.8,,7.92062185,
12/4/2015,A,Coral,5,Med,2:00,1:58,57.7,25.13,-37.8,,7.751377729,
12/4/2015,A,Algae,6,Med,2:00,2:00,57.6,25.13,-43,,7.839237092,
12/4/2015,A,Rubble,7,Med,2:00,1:57,57.4,25.18,-45.5,,7.880774236,
12/4/2015,A,Sand,8,Med,2:00,2:03,57.5,25.14,-43.6,,7.849235192,
12/4/2015,A,Coral,9,High,2:00,2:05,57.8,25.16,-35.9,,7.718869808,
12/4/2015,A,Algae,10,High,2:00,2:04,57.8,25.2,-40.2,,7.790965133,
12/4/2015,A,Rubble,11,High,2:00,2:01,57.7,25.14,-39.8,,7.785032425,
12/4/2015,A,Sand,12,High,2:00,1:59,57.4,25.17,-43.8,,7.852195413,
12/4/2015,B,Coral,13,Ambient,2:00,1:44,57.7,25.16,-42.2,,7.825304101,
12/4/2015,B,Algae,14,Ambient,2:00,1:48,55.9,25.09,-45.5,,7.882039589,
12/4/2015,B,Rubble,15,Ambient,2:00,1:42,57.1,24.9,-45.1,,7.877948314,
12/4/2015,B,Sand,16,Ambient,2:00,1:45,56.9,25.12,-47.6,,7.917100625,
12/4/2015,B,Coral,17,Med,2:00,1:39,57.8,25.13,-43.2,,7.842616298,
12/4/2015,B,Algae,18,Med,2:00,1:41,57.6,26.02,-41.2,,7.796542495,
12/4/2015,B,Rubble,19,Med,2:00,1:42,57.5,25.17,-42.1,,7.823476011,
12/4/2015,B,Sand,20,Med,2:00,1:46,57.8,25.03,-44.3,,7.862601298,
12/4/2015,B,Coral,21,High,2:00,1:43,57.9,25.14,-35.7,,7.715761019,
12/4/2015,B,Algae,22,High,2:00,1:45,57.7,25.14,-40.8,,7.80192789,
12/4/2015,B,Rubble,23,High,2:00,1:47,57.4,25.1,-41.2,,7.809238736,
12/4/2015,B,Sand,24,High,2:00,1:40,57.6,25.01,-44,,7.857810368,
12/4/2015,C,Coral,25,Ambient,2:00,1:25,57.5,25.09,-41.2,,7.80937691,
12/4/2015,C,Algae,26,Ambient,2:00,1:22,57.7,25.11,-45.6,,7.883448089,
12/4/2015,C,Rubble,27,Ambient,2:00,1:26,57.4,25.14,-44.5,,7.864441111,
12/4/2015,C,Sand,28,Ambient,2:00,1:18,57.8,25.03,-46.3,,7.896404694,
12/4/2015,C,Coral,29,Med,2:00,1:24,57.2,24.9,-40.8,,7.805239313,
12/4/2015,C,Algae,30,Med,2:00,1:28,57.9,25.21,-42.7,,7.833056319,
12/4/2015,C,Rubble,31,Med,2:00,1:29,57.4,25.16,-43.3,,7.843887867,
12/4/2015,C,Sand,32,Med,2:00,1:23,57.7,25.05,-45.3,,7.879221958,
12/4/2015,C,Coral,33,High,2:00,1:24,57.2,25.02,-40.5,,7.79851265,
12/4/2015,C,Algae,34,High,2:00,1:27,57.5,25.13,-42.2,,7.825720267,
12/4/2015,C,Rubble,35,High,2:00,1:23,57.3,24.98,-38.3,,7.761873932,
12/4/2015,C,Sand,36,High,2:00,1:27,57.5,25.1,-41.1,,7.807548963,
12/4/2015,Header,,Gray,Ambient,2:00,2:13,57.3,24.93,-47.9,,7.924867579,
12/4/2015,Header,,Pink,Med,2:00,2:12,57.4,24.94,-47.7,,7.921344184,
12/4/2015,Header,,Red,High,2:00,2:14,57.5,24.94,-47.3,,7.914581463,
12/4/2015,A,Coral,1,Ambient,6:00,5:46,57.5,24.74,-38.4,,7.766844582,
12/4/2015,A,Algae,2,Ambient,6:00,5:59,57.6,24.84,-43.6,,7.853422439,
12/4/2015,A,Rubble,3,Ambient,6:00,5:46,57.5,24.81,-43.3,,7.848767104,
12/4/2015,A,Sand,4,Ambient,6:00,5:55,57.6,24.87,-47.5,,7.918955567,
12/4/2015,A,Coral,5,Med,6:00,5:51,57.6,24.84,-37.2,,7.745182603,
12/4/2015,A,Algae,6,Med,6:00,5:49,57.7,24.96,-41.8,,7.82131692,
12/4/2015,A,Rubble,7,Med,6:00,5:52,57.6,24.89,-41.9,,7.823977938,
12/4/2015,A,Sand,8,Med,6:00,5:56,57.6,24.86,-42.6,,7.836231841,
12/4/2015,A,Coral,9,High,6:00,5:54,57.5,24.85,-33.9,,7.689237311,
12/4/2015,A,Algae,10,High,6:00,5:57,57.5,24.94,-37.9,,7.755657536,
12/4/2015,A,Rubble,11,High,6:00,5:48,57.6,24.85,-36.5,,7.733208269,
12/4/2015,A,Sand,12,High,6:00,5:58,57.6,24.89,-42.2,,7.829050829,
12/4/2015,B,Coral,13,Ambient,6:00,5:44,57.5,24.83,-40.3,,7.797749036,
12/4/2015,B,Algae,14,Ambient,6:00,5:42,57.5,24.81,-45,,7.877521206,
12/4/2015,B,Rubble,15,Ambient,6:00,5:18,57.3,24.68,-43.4,,7.852272769,
12/4/2015,B,Sand,16,Ambient,6:00,5:38,57.5,24.81,-46.7,,7.906275307,
12/4/2015,B,Coral,17,Med,6:00,5:20,57.6,24.91,-38.5,,7.766211738,
12/4/2015,B,Algae,18,Med,6:00,5:20,56.6,24.93,-40.5,,7.799753056,
12/4/2015,B,Rubble,19,Med,6:00,5:16,57.5,24.93,-39.4,,7.781154951,
12/4/2015,B,Sand,20,Med,6:00,5:39,57.5,24.75,-43.4,,7.851295784,
12/4/2015,B,Coral,21,High,6:00,5:18,57.6,24.88,-32.5,,7.665160666,
12/4/2015,B,Algae,22,High,6:00,5:37,57.4,24.85,-38.4,,7.765340892,
12/4/2015,B,Rubble,23,High,6:00,5:41,57.5,24.8,-39.7,,7.788013499,
12/4/2015,B,Sand,24,High,6:00,5:21,57.4,24.75,-41.8,,7.824227649,
12/4/2015,C,Coral,25,Ambient,6:00,5:31,57.5,24.82,-39.9,,7.791121358,
12/4/2015,C,Algae,26,Ambient,6:00,5:23,57.5,24.89,-44.8,,7.873015885,
12/4/2015,C,Rubble,27,Ambient,6:00,5:34,57.5,24.8,-43.9,,7.859055428,
12/4/2015,C,Sand,28,Ambient,6:00,5:22,57.6,24.91,-47,,7.909934009,
12/4/2015,C,Coral,29,Med,6:00,5:29,57.4,24.71,-39,,7.777406671,
12/4/2015,C,Algae,30,Med,6:00,5:32,57.5,24.86,-41.1,,7.810864831,
12/4/2015,C,Rubble,31,Med,6:00,5:35,57.4,24.87,-42.3,,7.831019553,
12/4/2015,C,Sand,32,Med,6:00,5:24,57.5,24.84,-44.8,,7.873717408,
12/4/2015,C,Coral,33,High,6:00,5:28,57.4,24.76,-38.5,,7.768262851,
12/4/2015,C,Algae,34,High,6:00,5:33,57.3,24.82,-40,,7.792812719,
12/4/2015,C,Rubble,35,High,6:00,5:26,57.5,24.79,-38.1,,7.761086436,
12/4/2015,C,Sand,36,High,6:00,5:34,57.5,24.78,-40.1,,7.79505473,
12/4/2015,Header,,Gray,Ambient,6:00,6:04,57.3,24.67,-47.3,,7.918408654,
12/4/2015,Header,,Pink,Med,6:00,6:02,57.3,24.62,-47,,7.914040231,
12/4/2015,Header,,Red,High,6:00,6:04,57.3,24.64,-46.7,,7.908679782,
12/4/2015,A,Coral,1,Ambient,10:00,9:24,57.5,25.03,-45,,7.874432487,
12/4/2015,A,Algae,2,Ambient,10:00,9:27,57.6,25.4,-51.7,,7.982343137,
12/4/2015,A,Rubble,3,Ambient,10:00,9:25,57.9,25.33,-44.8,,7.86684672,
12/4/2015,A,Sand,4,Ambient,10:00,9:14,57.2,25.04,-48.3,,7.930065868,
12/4/2015,A,Coral,5,Med,10:00,9:15,57.6,25.01,-41.2,,7.81048244,
12/4/2015,A,Algae,6,Med,10:00,9:26,56.5,25.48,-53.4,,8.009880878,
12/4/2015,A,Rubble,7,Med,10:00,9:20,57.7,25.07,-44.6,,7.867111334,
12/4/2015,A,Sand,8,Med,10:00,9:23,57.4,24.96,-45.1,,7.877105619,
12/4/2015,A,Coral,9,High,10:00,9:16,57.4,25.16,-43.5,,7.847266733,
12/4/2015,A,Algae,10,High,10:00,9:22,57.9,25.19,-50.2,,7.960029038,
12/4/2015,A,Rubble,11,High,10:00,9:26,57.9,25.34,-44.4,,7.859952941,
12/4/2015,A,Sand,12,High,10:00,9:21,58.1,25.3,-47.3,,7.909483124,
12/4/2015,B,Coral,13,Ambient,10:00,9:39,57.3,25.08,-46.3,,7.895699295,
12/4/2015,B,Algae,14,Ambient,10:00,9:42,57.5,25.62,-51.2,,7.97074202,
12/4/2015,B,Rubble,15,Ambient,10:00,9:48,57.2,24.99,-48.2,,7.929086619,
12/4/2015,B,Sand,16,Ambient,10:00,9:37,57.4,25.07,-48.6,,7.934709058,
12/4/2015,B,Coral,17,Med,10:00,9:44,57.2,25.22,-46.7,,7.90048108,
12/4/2015,B,Algae,18,Med,10:00,9:46,57.6,25.24,-49.2,,7.942423113,
12/4/2015,B,Rubble,19,Med,10:00,9:48,57.3,25.2,-47.7,,7.917655637,
12/4/2015,B,Sand,20,Med,10:00,9:38,57.5,25.06,-47.5,,7.91626144,
12/4/2015,B,Coral,21,High,10:00,9:50,57.7,25.09,-42.9,,7.838104016,
12/4/2015,B,Algae,22,High,10:00,9:36,57,25.12,-48.5,,7.932307563,
12/4/2015,B,Rubble,23,High,10:00,9:41,57.7,25.08,-45.5,,7.882180204,
12/4/2015,B,Sand,24,High,10:00,9:47,57.3,25.09,-47.3,,7.912456525,
12/4/2015,C,Coral,25,Ambient,10:00,9:57,57.3,25.24,-48.5,,7.930600251,
12/4/2015,C,Algae,26,Ambient,10:00,9:52,57.1,25.14,-49.4,,7.947228889,
12/4/2015,C,Rubble,27,Ambient,10:00,10:02,57.8,25.24,-50.8,,7.969446798,
12/4/2015,C,Sand,28,Ambient,10:00,9:53,57.9,25.17,-49.2,,7.943421749,
12/4/2015,C,Coral,29,Med,10:00,9:56,57.3,25.14,-48.9,,7.938781157,
12/4/2015,C,Algae,30,Med,10:00,9:59,57.6,25.29,-49.3,,7.943398621,
12/4/2015,C,Rubble,31,Med,10:00,9:58,57.6,25.28,-48.9,,7.936786292,
12/4/2015,C,Sand,32,Med,10:00,9:54,57.9,25.24,-46.4,,7.895131665,
12/4/2015,C,Coral,33,High,10:00,9:55,57.6,25.12,-48.6,,7.933997223,
12/4/2015,C,Algae,34,High,10:00,10:00,57.8,25.34,-52.5,,7.996714511,
12/4/2015,C,Rubble,35,High,10:00,9:53,57.4,25.15,-44.5,,7.864301086,
12/4/2015,C,Sand,36,High,10:00,10:01,57.3,25.1,-48.3,,7.929212625,
12/4/2015,Header,,Gray,Ambient,10:00,10:03,57.5,24.98,-49.3,,7.947823789,
12/4/2015,Header,,Pink,Med,10:00,10:04,57.4,24.96,-49.7,,7.954871686,
12/4/2015,Header,,Red,High,10:00,10:05,57.3,24.89,-50.1,,7.962636962,
